subject,rho,pval,zscore,task,dataset,age,age_months,movie_FD,Age,AgeGroup1,sex,Unnamed: 0,session
sub-294,0.1956246632143071,0.0009990009990009,3.900917629252338,forgot,narratives,19.0,228.0,,,,,,
sub-295,0.1082572717556952,0.0239760239760239,2.2441296686753383,forgot,narratives,18.0,216.0,,,,,,
sub-296,-0.2080167349289832,0.0009990009990009,-4.305142510121433,forgot,narratives,38.0,456.0,,,,,,
sub-297,-0.1023683246009731,0.0469530469530469,-2.0623880315456216,forgot,narratives,21.0,252.0,,,,,,
sub-299,0.2003630795685142,0.0009990009990009,3.9333187515050088,forgot,narratives,18.0,216.0,,,,,,
sub-300,0.1541383463367389,0.0029970029970029,3.0668071388877127,forgot,narratives,53.0,636.0,,,,,,
sub-301,0.4195248325747013,0.0009990009990009,8.28478358413523,forgot,narratives,19.0,228.0,,,,,,
sub-302,-0.0943247253658004,0.0619380619380619,-1.876181455694224,forgot,narratives,18.0,216.0,,,,,,
sub-304,0.1211544466840965,0.0139860139860139,2.500025756465003,forgot,narratives,25.0,300.0,,,,,,
sub-307,0.3082842630636937,0.0009990009990009,6.144607280298556,forgot,narratives,20.0,240.0,,,,,,
sub-308,0.275351720033501,0.0009990009990009,5.652544263438322,forgot,narratives,22.0,264.0,,,,,,
sub-310,0.3929107449361986,0.0009990009990009,8.072125515818275,forgot,narratives,28.0,336.0,,,,,,
sub-311,0.0185443528773735,0.7262737262737263,0.3681132280451922,forgot,narratives,22.0,264.0,,,,,,
sub-312,0.2238266977132381,0.0009990009990009,4.480616181023337,forgot,narratives,19.0,228.0,,,,,,
sub-313,0.291162643925882,0.0009990009990009,5.822999095267326,forgot,narratives,26.0,312.0,,,,,,
sub-314,0.4078483649825633,0.0009990009990009,8.389115135938212,forgot,narratives,25.0,300.0,,,,,,
sub-315,0.2645854693789166,0.0009990009990009,5.133167733897407,forgot,narratives,35.0,420.0,,,,,,
sub-127,0.2366389825055649,0.0009990009990009,4.802411170362037,piemanpni,narratives,32.0,384.0,,,,,,
sub-265,-0.0151253262364144,0.7692307692307693,-0.282528819464887,piemanpni,narratives,20.0,240.0,,,,,,
sub-267,0.4136938657444301,0.0009990009990009,8.009244301581004,piemanpni,narratives,27.0,324.0,,,,,,
