Unnamed: 0,measure,region_name,score,task,subject_id,dataset,age_months
83276,TPHATE_DiffOp_IDE,17Networks_LH_DorsAttnB_PostC_5,7.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83277,TPHATE_DiffOp_IDE,17Networks_LH_DorsAttnB_PostC_6,6.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83278,TPHATE_DiffOp_IDE,17Networks_LH_DorsAttnB_PostC_7,4.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83279,TPHATE_DiffOp_IDE,17Networks_LH_DorsAttnB_PostC_8,5.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83280,TPHATE_DiffOp_IDE,17Networks_LH_DorsAttnB_PostC_9,4.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83281,TPHATE_DiffOp_IDE,17Networks_LH_DorsAttnB_FEF_1,8.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83282,TPHATE_DiffOp_IDE,17Networks_LH_DorsAttnB_FEF_2,6.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83283,TPHATE_DiffOp_IDE,17Networks_LH_DorsAttnB_FEF_3,6.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83284,TPHATE_DiffOp_IDE,17Networks_LH_DorsAttnB_PrCv_1,10.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83285,TPHATE_DiffOp_IDE,17Networks_LH_SalVentAttnA_ParOper_1,6.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83286,TPHATE_DiffOp_IDE,17Networks_LH_SalVentAttnA_ParOper_2,7.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83287,TPHATE_DiffOp_IDE,17Networks_LH_SalVentAttnA_ParOper_3,6.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83288,TPHATE_DiffOp_IDE,17Networks_LH_SalVentAttnA_Ins_1,4.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83289,TPHATE_DiffOp_IDE,17Networks_LH_SalVentAttnA_Ins_2,5.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83290,TPHATE_DiffOp_IDE,17Networks_LH_SalVentAttnA_Ins_3,4.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83291,TPHATE_DiffOp_IDE,17Networks_LH_SalVentAttnA_Ins_4,4.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83292,TPHATE_DiffOp_IDE,17Networks_LH_SalVentAttnA_FrOper_1,4.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83293,TPHATE_DiffOp_IDE,17Networks_LH_SalVentAttnA_FrOper_2,4.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83294,TPHATE_DiffOp_IDE,17Networks_LH_SalVentAttnA_ParMed_1,5.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83295,TPHATE_DiffOp_IDE,17Networks_LH_SalVentAttnA_ParMed_2,5.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83296,TPHATE_DiffOp_IDE,17Networks_LH_SalVentAttnA_ParMed_3,5.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83297,TPHATE_DiffOp_IDE,17Networks_LH_SalVentAttnA_FrMed_1,8.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83298,TPHATE_DiffOp_IDE,17Networks_LH_SalVentAttnA_FrMed_2,5.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83299,TPHATE_DiffOp_IDE,17Networks_LH_SalVentAttnA_FrMed_3,4.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83300,TPHATE_DiffOp_IDE,17Networks_LH_SalVentAttnB_PFCl_1,5.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83301,TPHATE_DiffOp_IDE,17Networks_LH_SalVentAttnB_PFCl_2,8.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83302,TPHATE_DiffOp_IDE,17Networks_LH_SalVentAttnB_PFCl_3,7.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83303,TPHATE_DiffOp_IDE,17Networks_LH_SalVentAttnB_Ins_1,4.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83304,TPHATE_DiffOp_IDE,17Networks_LH_SalVentAttnB_Ins_2,3.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83305,TPHATE_DiffOp_IDE,17Networks_LH_SalVentAttnB_Ins_3,3.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83306,TPHATE_DiffOp_IDE,17Networks_LH_SalVentAttnB_OFC_1,4.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83307,TPHATE_DiffOp_IDE,17Networks_LH_SalVentAttnB_PFCmp_1,5.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83308,TPHATE_DiffOp_IDE,17Networks_LH_LimbicB_OFC_1,4.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83309,TPHATE_DiffOp_IDE,17Networks_LH_LimbicB_OFC_2,4.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83310,TPHATE_DiffOp_IDE,17Networks_LH_LimbicB_OFC_3,5.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83311,TPHATE_DiffOp_IDE,17Networks_LH_LimbicB_OFC_4,5.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83312,TPHATE_DiffOp_IDE,17Networks_LH_LimbicB_OFC_5,7.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83313,TPHATE_DiffOp_IDE,17Networks_LH_LimbicA_TempPole_1,4.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83314,TPHATE_DiffOp_IDE,17Networks_LH_LimbicA_TempPole_2,7.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83315,TPHATE_DiffOp_IDE,17Networks_LH_LimbicA_TempPole_3,5.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83316,TPHATE_DiffOp_IDE,17Networks_LH_LimbicA_TempPole_4,4.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83317,TPHATE_DiffOp_IDE,17Networks_LH_LimbicA_TempPole_5,4.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83318,TPHATE_DiffOp_IDE,17Networks_LH_LimbicA_TempPole_6,5.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83319,TPHATE_DiffOp_IDE,17Networks_LH_LimbicA_TempPole_7,5.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83320,TPHATE_DiffOp_IDE,17Networks_LH_ContA_Temp_1,8.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83321,TPHATE_DiffOp_IDE,17Networks_LH_ContA_IPS_1,7.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83322,TPHATE_DiffOp_IDE,17Networks_LH_ContA_IPS_2,6.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83323,TPHATE_DiffOp_IDE,17Networks_LH_ContA_IPS_3,4.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83324,TPHATE_DiffOp_IDE,17Networks_LH_ContA_IPS_4,6.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83325,TPHATE_DiffOp_IDE,17Networks_LH_ContA_IPS_5,6.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83326,TPHATE_DiffOp_IDE,17Networks_LH_ContA_PFCd_1,5.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83327,TPHATE_DiffOp_IDE,17Networks_LH_ContA_PFClv_1,4.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83328,TPHATE_DiffOp_IDE,17Networks_LH_ContA_PFClv_2,7.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83329,TPHATE_DiffOp_IDE,17Networks_LH_ContA_PFCl_1,8.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83330,TPHATE_DiffOp_IDE,17Networks_LH_ContA_PFCl_2,8.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83331,TPHATE_DiffOp_IDE,17Networks_LH_ContA_PFCl_3,9.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83332,TPHATE_DiffOp_IDE,17Networks_LH_ContA_Cingm_1,8.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83333,TPHATE_DiffOp_IDE,17Networks_LH_ContB_Temp_1,5.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83334,TPHATE_DiffOp_IDE,17Networks_LH_ContB_Temp_2,8.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83335,TPHATE_DiffOp_IDE,17Networks_LH_ContB_IPL_1,5.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83336,TPHATE_DiffOp_IDE,17Networks_LH_ContB_IPL_2,5.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83337,TPHATE_DiffOp_IDE,17Networks_LH_ContB_IPL_3,6.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83338,TPHATE_DiffOp_IDE,17Networks_LH_ContB_PFCd_1,5.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83339,TPHATE_DiffOp_IDE,17Networks_LH_ContB_PFClv_1,7.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83340,TPHATE_DiffOp_IDE,17Networks_LH_ContB_PFClv_2,6.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83341,TPHATE_DiffOp_IDE,17Networks_LH_ContB_PFClv_3,5.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83342,TPHATE_DiffOp_IDE,17Networks_LH_ContB_PFCmp_1,6.0,aeronaut,s8687_1_3,infant_restmovie,11.0
